time_s,cart_x_m,cart_v_ms,pole_rad,pole_deg,pole_omega_rads,force_N,pid_up,pid_ui,pid_ud
0.000000,0.000000,0.000000,0.087266,5.0000,0.000000,43.4292,43.4255,0.0036,0.0000
0.008333,0.001468,0.352378,0.085117,4.8768,-0.515988,-10.4769,42.3558,0.0072,-72.9401
0.016667,0.004048,0.266755,0.081393,4.6635,-0.377812,2.4148,40.5027,0.0106,-53.4076
0.025000,0.006351,0.285908,0.078166,4.4786,-0.396676,-0.6914,38.8971,0.0138,-56.0742
0.033333,0.008708,0.279838,0.074938,4.2936,-0.378221,0.0430,37.2905,0.0170,-53.4654
0.041667,0.011040,0.279755,0.071824,4.1152,-0.369107,-0.1460,35.7411,0.0199,-52.1770
0.050000,0.013364,0.278153,0.068794,3.9416,-0.358097,-0.1120,34.2335,0.0228,-50.6206
0.058333,0.015677,0.276845,0.065853,3.7731,-0.347890,-0.1315,32.7698,0.0256,-49.1778
0.066667,0.017978,0.275395,0.062996,3.6094,-0.337826,-0.1376,31.3482,0.0282,-47.7551
0.075000,0.020266,0.273911,0.060222,3.4505,-0.328056,-0.1466,29.9676,0.0307,-46.3741
0.083333,0.022543,0.272371,0.057528,3.2961,-0.318535,-0.1545,28.6271,0.0331,-45.0281
0.091667,0.024806,0.270782,0.054912,3.1463,-0.309266,-0.1623,27.3255,0.0354,-43.7178
0.100000,0.027055,0.269144,0.052373,3.0008,-0.300239,-0.1698,26.0619,0.0376,-42.4417
0.108333,0.029291,0.267460,0.049908,2.8595,-0.291449,-0.1770,24.8352,0.0396,-41.1992
0.116667,0.031513,0.265732,0.047515,2.7224,-0.282890,-0.1839,23.6444,0.0416,-39.9893
0.125000,0.033720,0.263962,0.045193,2.5893,-0.274555,-0.1906,22.4887,0.0435,-38.8111
0.133333,0.035912,0.262151,0.042939,2.4602,-0.266440,-0.1970,21.3671,0.0453,-37.6639
0.141667,0.038089,0.260300,0.040751,2.3349,-0.258538,-0.2031,20.2787,0.0470,-36.5469
0.150000,0.040250,0.258413,0.038629,2.2133,-0.250844,-0.2090,19.2227,0.0486,-35.4593
0.158333,0.042396,0.256490,0.036570,2.0953,-0.243352,-0.2147,18.1981,0.0501,-34.4003
0.166667,0.044525,0.254533,0.034573,1.9809,-0.236058,-0.2201,17.2042,0.0516,-33.3692
0.175000,0.046638,0.252543,0.032635,1.8699,-0.228956,-0.2253,16.2401,0.0529,-32.3652
0.183333,0.048734,0.250523,0.030757,1.7622,-0.222041,-0.2303,15.3051,0.0542,-31.3878
0.191667,0.050813,0.248473,0.028934,1.6578,-0.215309,-0.2351,14.3983,0.0554,-30.4361
0.200000,0.052875,0.246395,0.027168,1.5566,-0.208754,-0.2396,13.5191,0.0565,-29.5095
0.208333,0.054919,0.244290,0.025455,1.4584,-0.202373,-0.2439,12.6668,0.0576,-28.6074
0.216667,0.056946,0.242160,0.023794,1.3633,-0.196160,-0.2481,11.8405,0.0586,-27.7292
0.225000,0.058955,0.240006,0.022185,1.2711,-0.190111,-0.2520,11.0397,0.0595,-26.8742
0.233333,0.060946,0.237829,0.020625,1.1818,-0.184223,-0.2558,10.2636,0.0604,-26.0418
0.241667,0.062919,0.235631,0.019114,1.0952,-0.178491,-0.2594,9.5116,0.0612,-25.2314
0.250000,0.064873,0.233413,0.017650,1.0113,-0.172910,-0.2628,8.7831,0.0619,-24.4426
0.258333,0.066809,0.231175,0.016232,0.9300,-0.167478,-0.2660,8.0774,0.0626,-23.6747
0.266667,0.068726,0.228920,0.014859,0.8513,-0.162190,-0.2690,7.3939,0.0632,-22.9271
0.275000,0.070624,0.226648,0.013529,0.7751,-0.157042,-0.2719,6.7321,0.0638,-22.1995
0.283333,0.072504,0.224360,0.012241,0.7014,-0.152031,-0.2746,6.0913,0.0643,-21.4911
0.291667,0.074364,0.222058,0.010994,0.6299,-0.147154,-0.2772,5.4710,0.0647,-20.8017
0.300000,0.076204,0.219742,0.009788,0.5608,-0.142407,-0.2796,4.8707,0.0651,-20.1306
0.308333,0.078026,0.217414,0.008621,0.4939,-0.137786,-0.2819,4.2898,0.0655,-19.4774
0.316667,0.079828,0.215074,0.007491,0.4292,-0.133289,-0.2840,3.7278,0.0658,-18.8417
0.325000,0.081610,0.212723,0.006399,0.3666,-0.128911,-0.2860,3.1842,0.0661,-18.2229
0.333333,0.083373,0.210363,0.005342,0.3061,-0.124651,-0.2879,2.6585,0.0663,-17.6207
0.341667,0.085116,0.207993,0.004321,0.2476,-0.120505,-0.2896,2.1502,0.0665,-17.0346
0.350000,0.086840,0.205616,0.003334,0.1910,-0.116470,-0.2912,1.6589,0.0666,-16.4642
0.358333,0.088543,0.203232,0.002380,0.1363,-0.112544,-0.2927,1.1841,0.0667,-15.9092
0.366667,0.090227,0.200841,0.001458,0.0835,-0.108723,-0.2940,0.7254,0.0668,-15.3690
0.375000,0.091891,0.198445,0.000567,0.0325,-0.105004,-0.2952,0.2823,0.0668,-14.8434
0.383333,0.093534,0.196044,-0.000293,-0.0168,-0.101386,-0.2963,-0.1456,0.0668,-14.3320
0.391667,0.095158,0.193639,-0.001123,-0.0643,-0.097866,-0.2974,-0.5587,0.0667,-13.8343
0.400000,0.096762,0.191230,-0.001924,-0.1102,-0.094440,-0.2983,-0.9574,0.0667,-13.3501
0.408333,0.098345,0.188819,-0.002697,-0.1545,-0.091107,-0.2990,-1.3421,0.0666,-12.8789
0.416667,0.099909,0.186406,-0.003443,-0.1972,-0.087865,-0.2997,-1.7131,0.0664,-12.4205
0.425000,0.101452,0.183992,-0.004162,-0.2384,-0.084710,-0.3003,-2.0709,0.0662,-11.9746
0.433333,0.102975,0.181577,-0.004855,-0.2782,-0.081641,-0.3008,-2.4158,0.0660,-11.5407
